Podcast,Show,Series,Episode,Title,Speaker,Date,Scripture,Description,YouTube,AudioFile,Spotify,Bulletin,Artwork
The Sunday Sermon,The Sunday Sermon,Lamentations,1,The Costly Loss of Lament to God,Rev. Kevin Nelson,7/3/2016,Lamentations 1:1-22,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,,Singing in Sorrow,Rev. Andrew Holbrook,7/10/2016,Psalm 42:1-43:4,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,14+?,What It Means to be #Blessed,Rev. Craig Luekens,7/17/2016,Psalm 32,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,15+,Taste and See That the Lord is Good,Rev. Craig Luekens,7/24/2016,Psalm 34:1-22,,,,,,
The Sunday Sermon,The Sunday Sermon,Lamentations,2,Lament and the Openness to Grace,Rev. Kevin Nelson,7/31/2016,Lamentations 2:1-22,,,,,,
The Sunday Sermon,The Sunday Sermon,Lamentations,3,Lamentations and Remembering Your Baptism,Rev. Kevin Nelson,8/7/2016,Lamentations 3:1-33,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,16+,The Movements of the Christian Life,Rev. Craig Luekens,8/14/2016,Psalm 40:1-17,,,,,,
The Sunday Sermon,The Sunday Sermon,Lamentations,4?,Responding to Lamentations,Rev. Kevin Nelson,8/21/2016,Lamentations 5:1-22,,,,,,
The Sunday Sermon,The Sunday Sermon,,,The Mission of the Church and the Presence of Christ Today,Rev. Craig Luekens,8/28/2016,John 14:15-31,,,,,,
The Sunday Sermon,The Sunday Sermon,,,A Word to the Baptized,Rev. Kevin Nelson,8/28/2016,Colossians 2:6-15,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,17+,"A Love Song to Jesus. Wait, What?!",Rev. Craig Luekens,9/4/2016,Psalm 45:1-17,,,,,,
The Sunday Sermon,The Sunday Sermon,,,God's Tabernacle Builders,Rev. Preston Graham,9/11/2016,Exodus 35:4-36:7 (Ephesians 4:8-16),,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,18+,Assume Nothing! Jesus' Victory is Better than We Can Imagine,Rev. Craig Luekens,9/18/2016,Psalm 44:1-26,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,1,Small Matters in the Kingdom of God,Rev. Kevin Nelson,9/18/2016,1 Samuel 1:1-28,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,1,Our Holy Obsession: Being Committed in an Age of Uncommittment,Rev. Preston Graham,9/25/2016,Philippians 1:1-11,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,2,More than Consolation,Rev. Preston Graham,10/2/2016,Philippians 1:12-26,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,2,True Strength,Rev. Kevin Nelson,10/9/2016,1 Samuel 2:1-10,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,3?,Love and Death,Rev. Preston Graham,10/16/2016,Philippians 2:5-11,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,3,Hope for the Spiritually Disillusioned,Rev. Kevin Nelson,10/23/2016,1 Samuel 2:11-36,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,4,Standing Side by Side for the Gospel: A Plea for Authentic Christian Unity,Rev. Preston Graham,10/30/2016,Philippians 2:1-11,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,5,After Christ: The Contours of Christian Obedience,Rev. Preston Graham,11/6/2016,Philippians 2:5-13,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,19+,The Audacious Road from Confession to Grace,Rev. Craig Luekens,11/13/2016,Psalm 51,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,4,Hope… but on God's Terms,Rev. Kevin Nelson,11/13/2016,1 Samuel 3:1-4:1,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,6,There is Something Extraordinary About Their Lives,Rev. Preston Graham,11/20/2016,Philippians 2:12-18,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,5,God Out of Control,Rev. Kevin Nelson,11/27/2016,1 Samuel 4:1-22,,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2016,1,"The True Merriment of a ""Merry Christmas""",Rev. Preston Graham,12/4/2016,Matthew 9:9-17,,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2016,3,Belief & Hope: Making the Mundane Extraordinary,Rev. Craig Luekens,12/11/2016,Psalm 119:113-128 (Romans 5:1-11),,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2016,2,Belief & Hope: Transforming the Flimsy and Mundane into Extrodinary Conviction,Rev. Craig Luekens,12/11/2016,Romans 5:1-11,,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2016,4,Finding Peace Under the Prince of Peace,Rev. Kevin Nelson,12/18/2016,Luke 2:8-14 (Isaiah 9:1-7),,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2016,5,The Desire for All Nations,Rev. Preston Graham,12/25/2016,Haggai 2:6-9 (Matthew 2:1-12),,,,,,
The Sunday Sermon,The Sunday Sermon,,,"Providence and Vocation: Here We Go, Back to Work… For Jesus?",Rev. Craig Luekens,1/1/2017,Ephesians 2:1-10,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,7,Who Do You Respect?,Rev. Preston Graham,1/8/2017,Philippians 2:19-30,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,6,Dangerous Religion,Rev. Kevin Nelson,1/15/2017,1 Samuel 5:1-7:2,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,8,Against Wind and Tide: Forsaking the Religion of Mr. By-Ends,Rev. Preston Graham,1/22/2017,Philippians 3:1-11,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,20+,Joining the Victory March of the Gracious God,Rev. Craig Luekens,1/29/2017,Psalm 68:1-35,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,7,The Audacious Claim of Humble Prayer,Rev. Kevin Nelson,1/29/2017,1 Samuel 7:3-17,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,9,Pressing On,Rev. Preston Graham,2/5/2017,Philippians 3:7-4:1,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Anabaino!,Rev. Jeff Hutchinson,2/12/2017,John 20:11-18,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,10,Peace for the Sake of the Gospel Mission,Rev. Preston Graham,2/19/2017,Philippians 4:1-3,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,21+,"God Matters: The ""Success"" of the Wicked and the Prize of the Godly",Rev. Craig Luekens,2/26/2017,Psalm 73:1-28,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,8,Settling for a Kingdom of this World,Rev. Kevin Nelson,2/26/2017,1 Samuel 8,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,22+,Delighting in the Dwelling Place of God,Rev. Craig Luekens,3/5/2017,Psalm 84,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,9,More Than You've Asked For,Rev. Kevin Nelson,3/5/2017,1 Samuel 9,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,11,From Anxiety to Joy,Rev. Preston Graham,3/12/2017,Philippians 4:4-13,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Origins of Wisdom,Rev. Curran Bishop,3/19/2017,Proverbs 8:22-36,,,,,,
The Sunday Sermon,The Sunday Sermon,Philippians,12,The Grace of Christian Community,Rev. Preston Graham,3/26/2017,"Philippians 4:10, 14-21",,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,10,Settling for a Kingdom of this World,Rev. Kevin Nelson,4/2/2017,1 Samuel 8,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Our Fulfilled Hope,Rev. Dan Herron,4/2/2017,Mark 1:14-20,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,23+,"Abiding in the ""Shelter"" of God",Rev. Craig Luekens,4/9/2017,Psalm 91,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,11,Word and Spirit,Rev. Kevin Nelson,4/9/2017,1 Samuel 10:1-16,,,,,,
The Sunday Sermon,The Sunday Sermon,Holy Week,,Good Friday Worship Service,,4/14/2017,,,,,,,
The Sunday Sermon,The Sunday Sermon,,,What All People of All Faiths and None Yearn For,Rev. Preston Graham,4/16/2017,Romans 6:5-11,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,24+,Purity of Heart is to Will One Thing,Rev. Craig Luekens,4/23/2017,Psalm 101,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,12,The Call to Spiritual Renewal,Rev. Kevin Nelson,4/23/2017,1 Samuel 10:17-11:15,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,25+,"Stumbling on Christ, Hoping in God Alone",Rev. Craig Luekens,4/30/2017,Psalm 118,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,13,The Spiritual Nature of Our Problems,Rev. Kevin Nelson,4/30/2017,1 Samuel 12,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Rediscovering Christ's Ascension,Rev. Preston Graham,5/7/2017,John 14,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Ascension Part 2: The Life-Giving Spirit of Christ in the Life of the Church,Rev. Preston Graham,5/14/2017,Acts 16:5-40,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,26+,Thank God for … the Law?!,Rev. Craig Luekens,5/21/2017,"Psalm 119:1-16, 81-97",,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,14,From Fear to Freedom,Rev. Kevin Nelson,5/28/2017,1 Samuel 13,,,,,,
The Sunday Sermon,The Sunday Sermon,,,The Neighborhood of God: The Only Lasting Antidote to Human Sadness,Rev. Preston Graham,6/4/2017,"Revelation 21:1-14, 22-22:7",,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,15,Devoted to God,Rev. Kevin Nelson,6/11/2017,1 Samuel 15,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,16,The Holy Spirit's Role in God's Story,Rev. Kevin Nelson,6/18/2017,1 Samuel 16,,,,,,
The Sunday Sermon,The Sunday Sermon,Unity,,The Worthiness of the Kingdom of God,Rev. Preston Graham,6/25/2017,Matthew 4,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Be Here Now,Rev. Jeff Hutchinson,7/2/2017,Acts 17:16-34,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Striving After the Wind?,Rev. Preston Graham,7/9/2017,Ecclesiastes 4:1-12,,,,,,
The Sunday Sermon,The Sunday Sermon,,,On Eagle's Wings,Rev. Preston Graham,7/16/2017,Exodus 19:1-8 (1 Peter 2:9-10),,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,17,The Real Battle with Goliath,Rev. Kevin Nelson,7/23/2017,"1 Samuel 17:1-11, 32-54",,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,18,Love Like Jonathan,Rev. Kevin Nelson,7/30/2017,1 Samuel 18,,,,,,
The Sunday Sermon,The Sunday Sermon,,,The Gospel is No Respecter of Persons: The Universality of Christ Celebrated,Rev. Preston Graham,8/6/2017,Romans 15:7-15,,,,,,
The Sunday Sermon,The Sunday Sermon,,,A Baptism that Saves,Rev. Preston Graham,8/13/2017,John 1:19-34,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,19?,The Painful Path of the Kingdom of God,Rev. Kevin Nelson,8/20/2017,"1 Samuel 21:1-9, 22:5-23",,,,,,
The Sunday Sermon,The Sunday Sermon,,,Are You Afraid of God?,Rev. Preston Graham,8/27/2017,Psalm 119:33-38 (Luke 12:1-7),,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,27+,God Protects the Pilgrim (but do we really need it?),Rev. Craig Luekens,9/3/2017,Psalm 121:1-6,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,20?,Freed by God's Providence,Rev. Kevin Nelson,9/3/2017,1 Samuel 24,,,,,,
The Sunday Sermon,The Sunday Sermon,Reformation Solas,1,The Five Solas of the Reformation: Sola Scriptura,Rev. Preston Graham,9/10/2017,Acts 17:1-15,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,28+,"Entering God's Presence, Rejoicing in God's Strength",Rev. Craig Luekens,9/17/2017,Psalm 122,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,21,Gospel Intervention,Rev. Kevin Nelson,9/17/2017,"1 Samuel 25:2-3, 10-13, 18-38",,,,,,
The Sunday Sermon,The Sunday Sermon,Reformation Solas,2,The Five Solas of the Reformation: Sola Gratia,Rev. Preston Graham,9/24/2017,Exodus 33:1-34:10,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Samuel,22?,In Search of Divine Knowledge,Rev. Kevin Nelson,10/1/2017,1 Samuel 28:3-19,,,,,,
The Sunday Sermon,The Sunday Sermon,Reformation Solas,3,The Five Solas of the Reformation: Sola Fide,Rev. Preston Graham,10/8/2017,"Romans 1:16-17, 3:21-28",,,,,,
The Sunday Sermon,The Sunday Sermon,Galatians,,"No Longer a Slave, but a Son",Rev. Jeff Hutchinson,10/15/2017,Galatians 3:23-4:7,,,,,,
The Sunday Sermon,The Sunday Sermon,,,The Spirit of Sonship,Rev. Preston Graham,10/22/2017,Romans 8:12-17,,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,29+,In Pursuit of God-Given Unity,Rev. Craig Luekens,10/29/2017,Psalm 133,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,1,The Lord's Anointed and the Flawed King,Rev. Kevin Nelson,10/29/2017,2 Samuel 1:1-16,,,,,,
The Sunday Sermon,The Sunday Sermon,Reformation Solas,4,Solus Christus: The Sufficiency of Christ's Earthly AND Heavenly Priesthood Alone,Rev. Preston Graham,11/5/2017,Colossians 1:11-23,,,,,,
The Sunday Sermon,The Sunday Sermon,Reformation Solas,5,Soli Deo Gloria: From Salvation to God Alone Be Glory,Rev. Preston Graham,11/12/2017,"1 Timothy 1:12-17, 6:13-16",,,,,,
The Sunday Sermon,The Sunday Sermon,Psalms,30+,Are You Known? On God's Sovereigh Intimacy and What it Means to Trust Him,Rev. Craig Luekens,11/19/2017,Psalm 139:1-24,,,,,,
The Sunday Sermon,The Sunday Sermon,,,The Power of Prayer,Rev. Douglas Kelly,11/26/2017,Exodus 17:8-16,,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2017,1,The Light Shines in the Darkness: From Despair to Hope,Rev. Kevin Nelson,12/3/2017,1 Thessalonians 5:1-11,,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2017,2,The Light Shines in the Darkness: From Depravity to Dignity,Rev. Preston Graham,12/10/2017,Ephesians 4:17-5:17,,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2017,3,From Restlessness to Rest,Rev. Mike Brunjes,12/17/2017,2 Corinthians 11:1-15,,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2017,4,The Light Shines in the Darkness: From Death to Life,Rev. Craig Luekens,12/24/2017,Hebrews 2:5-18,,,,,,
The Sunday Sermon,The Sunday Sermon,,,"He Must Increase, But I Must Decrease",Rev. Jeff Hutchinson,12/31/2017,John 3:22-36,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,2?,A Persevering Faith,Rev. Kevin Nelson,1/7/2018,"2 Samuel 2:1-17, 24-32",,,,,,
The Sunday Sermon,The Sunday Sermon,Hebrews,,The Supremacy of Christ,Rev. Craig Luekens,1/14/2018,Hebrews 1:1-4,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,3?,The Grace of God's Holiness,Rev. Kevin Nelson,1/21/2018,2 Samuel 6:1-15,,,,,,
The Sunday Sermon,The Sunday Sermon,Hebrews,,The Certainty and Greatness of Hearing from God,Rev. Craig Luekens,1/28/2018,Hebrews 1:5-2:4,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,4,Life Before (a gracious) God,Rev. Kevin Nelson,1/28/2018,2 Samuel 6:13-23,,,,,,
The Sunday Sermon,The Sunday Sermon,Hebrews,,Hopping on the Glory Train: How the Savior's Perfection Paves the Sufferer's Road to Glory,Rev. Craig Luekens,2/4/2018,Hebrews 2:5-18,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,5?,Grace Unmeasured,Rev. Kevin Nelson,2/4/2018,2 Samuel 2:1-17,,,,,,
The Sunday Sermon,The Sunday Sermon,,,"To the Church, Through the Church, and In the Church",Rev. Jeff Hutchinson,2/11/2018,Ephesians 3:1,,,,,,
The Sunday Sermon,The Sunday Sermon,,,One Thing I Know,Rev. Andrew Holbrook,2/11/2018,John 9,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,The Answer to False Prophecy Then and Now,Rev. Preston Graham,2/18/2018,1 Timothy 1:1-7,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,Eldership by the Laying on of Hands,Rev. Preston Graham,2/25/2018,1 Timothy 4:14-16,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,Can You Say That You Love God's Law?,Rev. Preston Graham,3/4/2018,1 Timothy 1:8-11,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,The Redemptive Law Cycle: Relationships of Authority,Rev. Preston Graham,3/11/2018,1 Timothy 1:8-9,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,The Redemptive Law Cycle: The Law Against Violence,Rev. Preston Graham,3/18/2018,1 Timothy 1:8-9,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,6?,Mephibosheth and the Love of Christ,Rev. Kevin Nelson,3/25/2018,2 Samuel 9:1-13,,,,,,
The Sunday Sermon,The Sunday Sermon,Easter,,"Does Christianity Even Matter, Really?",Rev. Preston Graham,4/1/2018,Isaiah 25:6-10 (1 Corinthians 15:1-28),,,,,,
The Sunday Sermon,The Sunday Sermon,Hebrews,,"We Have Come to Share in Christ, If",Rev. Craig Luekens,4/8/2018,Hebrews 3:1-19,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,7?,Crisis Management,Rev. Kevin Nelson,4/8/2018,2 Samuel 11:1-27,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,Redemptive Law Cycle Applied: The Sacredness of Sex,Rev. Preston Graham,4/15/2018,1 Timothy 1:8-10,,,,,,
The Sunday Sermon,The Sunday Sermon,Hebrews,,Fearfully Striving for God's Rest,Rev. Craig Luekens,4/22/2018,Hebrews 4:1-11,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,8?,The Godly Goal of Rebuke,Rev. Kevin Nelson,4/22/2018,2 Samuel 12:1-25,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,Redemptive Law Cycle Applied: The Sin of Enslavement Against the Dignity of Work in the Image of God,Rev. Preston Graham,4/29/2018,1 Timothy 1:8-10,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,9?,Listening to Tamar,Rev. Kevin Nelson,5/6/2018,2 Samuel 13:1-22,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Not According to the Flesh,Rev. Mike Brunjes,5/13/2018,John 4:1-26,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,The Humiliation of the Word in an Age of Words Gone Viral,Rev. Preston Graham,5/20/2018,1 Timothy 1:8-11,,,,,,
The Sunday Sermon,The Sunday Sermon,,,"God in Three Persons, Blessed Trinity",Rev. Jeff Hutchinson,5/27/2018,1 Peter 1:1-12,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,10?,Responding to Sin with Sin,Rev. Kevin Nelson,6/3/2018,2 Samuel 15:1-15,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,From Wretch to Witness,Rev. Preston Graham,6/10/2018,1 Timothy 1:12-17,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,11?,Reversing the Curse,Rev. Kevin Nelson,6/17/2018,2 Samuel 16:5-14,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Being the Body,Rev. Curran Bishop,6/24/2018,1 Corinthians 12:12-27,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Can an Enlightened Church be Lightness?,Rev. Preston Graham,7/1/2018,Revelation 2:1-7,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,12?,Loving the Enemy of Loving the Antichrist,Rev. Kevin Nelson,7/8/2018,2 Samuel 18:1-19:8,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Be Still My Soul,Jerry Ornelas,7/15/2018,Psalm 131,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Christian Hospitality,Rev. Preston Graham,7/22/2018,Romans 14:1-23,,,,,,
The Sunday Sermon,The Sunday Sermon,,,"When Jesus Enters the Scene, Everything Changes",Jerry Ornelas,7/29/2018,Luke 7:11-17,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,13?,Fight the Good Fight,Rev. Kevin Nelson,8/5/2018,"2 Samuel 21:15-22, 23:13-17",,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,14,Learning the Lyrics of Gratitude,Rev. Kevin Nelson,8/12/2018,2 Samuel 22:1-25,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,The Campaign of All Campaigns,Rev. Preston Graham,8/19/2018,1 Timothy 2:1-7,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Samuel,15?,Deliverance From Our Own Hand,Rev. Kevin Nelson,8/26/2018,"2 Samuel 24:1-2, 10-25",,,,,,
The Sunday Sermon,The Sunday Sermon,,,Heaven Meets Earth,Rev. Preston Graham,9/2/2018,Genesis 28:10-23,,,,,,
The Sunday Sermon,The Sunday Sermon,,,The Power of Ascension Informed Prayer,Rev. Preston Graham,9/9/2018,"Acts 1:6-8, 12-14",,,,,,
The Sunday Sermon,The Sunday Sermon,,,Heaven Meets Earth: The Faith of Faiths,Rev. Preston Graham,9/16/2018,Genesis 15:1-17,,,,,,
The Sunday Sermon,The Sunday Sermon,Colossians,1,What Makes a Christian?,Rev. Kevin Nelson,9/23/2018,Colossians 1:1-8,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,The Mystery of Mysteries Revealed,Rev. Preston Graham,9/30/2018,1 Timothy 3:14-16,,,,,,
The Sunday Sermon,The Sunday Sermon,Colossians,2,Essential Needs for a New Life,Rev. Kevin Nelson,10/7/2018,Colossians 1:9-14,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,A Surprising Illustration of Demonic Teaching,Rev. Preston Graham,10/14/2018,1 Timothy 4:1-5,,,,,,
The Sunday Sermon,The Sunday Sermon,Hebrews,,Draw Near with Confidence,Rev. Craig Luekens,10/21/2018,Hebrews 4:11-16,,,,,,
The Sunday Sermon,The Sunday Sermon,Colossians,3,Who is Christ?,Rev. Kevin Nelson,10/28/2018,Colossians 1:15-20,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Covenantal Parenting,Rev. Preston Graham,11/4/2018,Genesis 17:1-14 & Ephesians 6:4,,,,,,
The Sunday Sermon,The Sunday Sermon,Colossians,4,The Hope for Real Change,Rev. Kevin Nelson,11/11/2018,Colossians 1:15-23,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,A Time to Study,Rev. Preston Graham,11/18/2018,1 Timothy 4:6-16,,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2018,,Ancient Prayers Answered: Christ Our Morning Star and Hope of Heaven,Rev. Kevin Nelson,11/25/2018,"Revelation 21:1-5, 22:16-17",,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2018,,Ancient Prayers Answered: O Wisdom! Who is Wise?,Rev. Preston Graham,12/2/2018,1 Corinthians 1:18-31,,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2018,,Ancient Prayers Answered: O Adonai; Messiah as Lord and Redeemer,Rev. Curran Bishop,12/9/2018,Isaiah 9:1-7 ,,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2018,,"Ancient Prayers Answered: God With Us, Finally",Rev. Craig Luekens,12/16/2018,"Ezekiel 34:1-16, 23-24",,,,,,
The Sunday Sermon,The Sunday Sermon,Advent 2018,,"Ancient Prayers Answered: O Root of Jesse, The Hope of the Nations",Rev. Preston Graham,12/23/2018,Romans 15:7-13,,,,,,
The Sunday Sermon,The Sunday Sermon,,,The Search,Rev. Jeff Hutchinson,12/30/2018,Job 28,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Fruit by Death,Rev. Preston Graham,1/6/2019,John 12:20-26,,,,,,
The Sunday Sermon,The Sunday Sermon,Colossians,5,The Ongoing Work of Christ for You,Rev. Kevin Nelson,1/13/2019,Colossians 1:24-29,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Killing the Hostility,Rev. Preston Graham,1/20/2019,Isaiah 65:17-25 (Ephesians 2:11-19),,,,,,
The Sunday Sermon,The Sunday Sermon,Colossians,6,Rooted and Built Up in Christ,Rev. Kevin Nelson,1/27/2019,Colossians 2:1-10,,,,,,
The Sunday Sermon,The Sunday Sermon,Colossians,7,Responding to Your Baptism,Rev. Kevin Nelson,2/3/2019,Colossians 2:11-15,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,From Generation Gap to Sacred Confrontation: A Reevaluation of the Interrelational Relations from a Gospel Perspective,Rev. Preston Graham,2/10/2019,1 Timothy 5:1-2,,,,,,
The Sunday Sermon,The Sunday Sermon,Hebrews,,"Jesus the King. Jesus the Humbe, Human, Perfect Priest",Rev. Craig Luekens,2/17/2019,Hebrews 4:14-5:10,,,,,,
The Sunday Sermon,The Sunday Sermon,,,"Missions Sunday in the Land of the ""Nones""",Rev. Preston Graham,2/24/2019,1 Peter 2:4-10,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,Honoring the Dishonored,Rev. Preston Graham,3/3/2019,1 Timothy 5:3-16,,,,,,
The Sunday Sermon,The Sunday Sermon,Colossians,8,The Lord of Conscience,Rev. Kevin Nelson,3/10/2019,Colossians 2:16-23,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,A Lenten Series on the Seven Capital Sins: Greed,Rev. Preston Graham,3/17/2019,"1 Timothy 6:6-10, 17-19",,,,,,
The Sunday Sermon,The Sunday Sermon,,,A Lenten Series on the Seven Capital Sins: Wrath,Rev. Preston Graham,3/24/2019,Leviticus 19:17-18 (Ephesians 4:26-32),,,,,,
The Sunday Sermon,The Sunday Sermon,Colossians,9,The New Life,Rev. Kevin Nelson,3/31/2019,Colossians 2:20-3:4,,,,,,
The Sunday Sermon,The Sunday Sermon,Hebrews,,Are We Sluggish? God's Warning to Us All,Rev. Craig Luekens,4/7/2019,Hebrews 5:11-6:12,,,,,,
The Sunday Sermon,The Sunday Sermon,Colossians,10,Grace that Leads to Death,Rev. Kevin Nelson,4/14/2019,Colossians 3:5-11,,,,,,
The Sunday Sermon,The Sunday Sermon,2 Corinthians,,Resurrection Health,Rev. Preston Graham,4/21/2019,2 Corinthians 4:7-18,,,,,,
The Sunday Sermon,The Sunday Sermon,Hebrews,,Do You Have an Anchor for Your Soul?,Rev. Craig Luekens,4/28/2019,Hebrews 6:13-20,,,,,,
The Sunday Sermon,The Sunday Sermon,1 Timothy,,But You… The Charge to be Different,Rev. Preston Graham,5/5/2019,1 Timothy 6:11-16,,,,,,
The Sunday Sermon,The Sunday Sermon,,,True Greatness,Rev. Devin Kahan,5/12/2019,Matthew 20:17-28,,,,,,
The Sunday Sermon,The Sunday Sermon,,,A Liturgy of Ascension,Rev. Preston Graham,5/19/2019,Ephesians 4:1-16,,,,,,
The Sunday Sermon,The Sunday Sermon,Colossians,11,The Place of Forgiveness,Rev. Kevin Nelson,5/26/2019,Colossians 3:12-15,,,,,,
The Sunday Sermon,The Sunday Sermon,,,Taste and See! (And You Might Find Yourself Boasting in the Lord!),Rev. Preston Graham,6/2/2019,Psalm 34,,,,,,
